x,y,yhat_1,yhat_2,yhat_3,yhat_4
1,,12.958742,,,
2,,12.880047,,,
3,11.639931,12.801352,,,
4,,12.722656,,,
5,14.343118,12.643961,,,
6,11.27727,12.565266,,,
7,,12.486569,,,
8,12.407874,12.407874,,,
9,12.38389,12.329179,,,
10,9.6633348,12.250484,,,
11,,12.171788,,,
12,,12.093092,,,
13,,12.014397,,,
14,,11.935701,,,
15,11.943351,11.857006,,,
16,,11.778311,,,
17,,11.699615,,,
18,11.729237,11.620919,,,
19,11.128189,11.542224,,,
20,,11.463529,,,
21,11.87082,11.384833,,,
22,10.862769,11.306137,,,
23,11.174828,11.227442,,,
24,10.8421,11.148746,,,
25,10.994411,11.070051,,,
26,11.966932,10.991356,,,
27,10.972773,10.91266,,,
28,10.603827,10.833964,,,
29,10.755448,10.755269,,,
30,10.676574,10.676574,,,
31,10.335642,,10.92483,,
32,11.298293,,10.935141,,
33,11.350291,,10.945451,,
34,11.056749,,10.955762,,
35,10.090028,,10.966072,,
36,11.150366,,10.976383,,
37,,,10.986693,,
38,,,10.997004,,
39,10.668666,,11.007315,,
40,11.785116,,11.017625,,
41,11.265289,,11.027936,,
42,10.859837,,11.038246,,
43,11.082466,,11.048556,,
44,11.418938,,11.058867,,
45,10.349507,,11.069178,,
46,11.744386,,11.079489,,
47,10.77723,,11.089799,,
48,11.346638,,11.100109,,
49,10.592965,,11.11042,,
50,10.93897,,11.12073,,
51,12.091771,,11.131042,,
52,10.484861,,11.141352,,
53,10.964159,,11.151663,,
54,11.233003,,11.161973,,
55,10.754452,,11.172283,,
56,10.210915,,11.182594,,
57,11.164218,,11.192904,,
58,11.587057,,11.203216,,
59,11.660542,,11.213526,,
60,11.576682,,11.223836,,
61,11.386091,,,11.368409,
62,11.592641,,,11.337558,
63,10.469337,,,11.306706,
64,11.759907,,,11.275855,
65,,,,11.245004,
66,10.848176,,,11.214152,
67,9.8816929,,,11.183301,
68,11.187155,,,11.15245,
69,8.7462711,,,11.121598,
70,10.879578,,,11.090747,
71,11.152882,,,11.059896,
72,11.577669,,,11.029044,
73,11.007596,,,10.998193,
74,11.08599,,,10.967341,
75,11.288896,,,10.93649,
76,10.497755,,,10.905639,
77,12.131111,,,10.874787,
78,,,,10.843936,
79,11.301006,,,10.813085,
80,,,,10.782233,
81,10.497962,,,10.751382,
82,,,,10.72053,
83,10.530546,,,10.689678,
84,11.532381,,,10.658827,
85,10.878619,,,10.627975,
86,,,,10.597124,
87,,,,10.566273,
88,8.9999208,,,10.535421,
89,10.311738,,,10.50457,
90,9.1879768,,,10.473719,
91,10.559851,,,,10.622105
92,,,,,10.6972
93,,,,,10.772295
94,,,,,10.847389
95,12.266577,,,,10.922484
96,11.177603,,,,10.99758
97,10.484228,,,,11.072674
98,11.409366,,,,11.147769
99,11.280694,,,,11.222864
100,,,,,11.297958
101,11.373054,,,,11.373054
102,,,,,11.448149
103,,,,,11.523243
104,11.29166,,,,11.598338
105,,,,,11.673432
106,,,,,11.748528
107,,,,,11.823623
108,11.898718,,,,11.898717
109,,,,,11.973812
110,,,,,12.048907
111,,,,,12.124002
112,,,,,12.199097
113,11.723002,,,,12.274192
114,,,,,12.349286
115,,,,,12.424381
116,,,,,12.499476
117,,,,,12.574571
118,13.258875,,,,12.649666
119,,,,,12.724761
120,,,,,12.799855
121,14.644141,,,,
122,,,,,
123,11.960894,,,,
124,,,,,
125,,,,,
